# Renewables.ninja Wind (Point API) - 56.625, 11.263 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "56.6250608600546", "lon": "11.262893522803957", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6829.395,15.602
2019-01-01 01:00,2019-01-01 02:00,6886.630,16.336
2019-01-01 02:00,2019-01-01 03:00,6916.931,17.267
2019-01-01 03:00,2019-01-01 04:00,6879.646,18.499
2019-01-01 04:00,2019-01-01 05:00,6745.044,19.606
2019-01-01 05:00,2019-01-01 06:00,6665.404,19.992
2019-01-01 06:00,2019-01-01 07:00,6522.555,20.535
2019-01-01 07:00,2019-01-01 08:00,6467.317,20.714
2019-01-01 08:00,2019-01-01 09:00,6324.477,21.106
2019-01-01 09:00,2019-01-01 10:00,6033.077,21.748
2019-01-01 10:00,2019-01-01 11:00,5820.637,22.127
2019-01-01 11:00,2019-01-01 12:00,5840.541,22.094
2019-01-01 12:00,2019-01-01 13:00,6038.087,21.738
2019-01-01 13:00,2019-01-01 14:00,6370.782,20.987
2019-01-01 14:00,2019-01-01 15:00,6648.545,20.071
2019-01-01 15:00,2019-01-01 16:00,6833.257,18.999
2019-01-01 16:00,2019-01-01 17:00,6887.408,18.383
2019-01-01 17:00,2019-01-01 18:00,6877.058,18.535
2019-01-01 18:00,2019-01-01 19:00,6766.260,19.482
2019-01-01 19:00,2019-01-01 20:00,6569.536,20.370
2019-01-01 20:00,2019-01-01 21:00,6473.408,20.695
2019-01-01 21:00,2019-01-01 22:00,6431.232,20.816
2019-01-01 22:00,2019-01-01 23:00,6247.447,21.293
2019-01-01 23:00,2019-01-02 00:00,6211.675,21.375
2019-01-02 00:00,2019-01-02 01:00,6404.875,20.894
2019-01-02 01:00,2019-01-02 02:00,6612.215,20.213
2019-01-02 02:00,2019-01-02 03:00,6788.030,19.341
2019-01-02 03:00,2019-01-02 04:00,6850.355,18.834
2019-01-02 04:00,2019-01-02 05:00,6869.581,18.623
2019-01-02 05:00,2019-01-02 06:00,6903.267,18.079
2019-01-02 06:00,2019-01-02 07:00,6917.384,17.362
2019-01-02 07:00,2019-01-02 08:00,6898.870,16.574
2019-01-02 08:00,2019-01-02 09:00,6834.265,15.656
2019-01-02 09:00,2019-01-02 10:00,6745.481,14.917
2019-01-02 10:00,2019-01-02 11:00,6680.287,14.522
2019-01-02 11:00,2019-01-02 12:00,6684.806,14.547
2019-01-02 12:00,2019-01-02 13:00,6712.022,14.704
2019-01-02 13:00,2019-01-02 14:00,6669.404,14.461
2019-01-02 14:00,2019-01-02 15:00,6516.914,13.750
2019-01-02 15:00,2019-01-02 16:00,6228.819,12.793
2019-01-02 16:00,2019-01-02 17:00,5733.505,11.656
2019-01-02 17:00,2019-01-02 18:00,5207.199,10.783
2019-01-02 18:00,2019-01-02 19:00,4705.985,10.097
2019-01-02 19:00,2019-01-02 20:00,4173.086,9.460
2019-01-02 20:00,2019-01-02 21:00,3650.409,8.893
2019-01-02 21:00,2019-01-02 22:00,3505.958,8.736
2019-01-02 22:00,2019-01-02 23:00,3803.177,9.060
2019-01-02 23:00,2019-01-03 00:00,4330.648,9.645
2019-01-03 00:00,2019-01-03 01:00,4766.865,10.180
2019-01-03 01:00,2019-01-03 02:00,4963.649,10.435
2019-01-03 02:00,2019-01-03 03:00,4956.906,10.424
2019-01-03 03:00,2019-01-03 04:00,4797.725,10.214
2019-01-03 04:00,2019-01-03 05:00,4569.907,9.932
2019-01-03 05:00,2019-01-03 06:00,4236.430,9.542
2019-01-03 06:00,2019-01-03 07:00,3784.272,9.032
2019-01-03 07:00,2019-01-03 08:00,3394.812,8.624
2019-01-03 08:00,2019-01-03 09:00,2988.444,8.196
2019-01-03 09:00,2019-01-03 10:00,2503.337,7.669
2019-01-03 10:00,2019-01-03 11:00,1846.485,6.921
2019-01-03 11:00,2019-01-03 12:00,1418.949,6.373
2019-01-03 12:00,2019-01-03 13:00,1249.251,6.138
2019-01-03 13:00,2019-01-03 14:00,1157.033,5.999
2019-01-03 14:00,2019-01-03 15:00,1081.853,5.882
2019-01-03 15:00,2019-01-03 16:00,1343.557,6.274
2019-01-03 16:00,2019-01-03 17:00,1727.283,6.783
2019-01-03 17:00,2019-01-03 18:00,2069.329,7.187
2019-01-03 18:00,2019-01-03 19:00,2401.612,7.567
2019-01-03 19:00,2019-01-03 20:00,2840.444,8.037
2019-01-03 20:00,2019-01-03 21:00,3137.358,8.347
2019-01-03 21:00,2019-01-03 22:00,3294.747,8.510
2019-01-03 22:00,2019-01-03 23:00,3495.016,8.730
2019-01-03 23:00,2019-01-04 00:00,3994.743,9.264
2019-01-04 00:00,2019-01-04 01:00,4373.425,9.692
2019-01-04 01:00,2019-01-04 02:00,4847.260,10.285
2019-01-04 02:00,2019-01-04 03:00,5245.542,10.839
2019-01-04 03:00,2019-01-04 04:00,5158.944,10.713
