# Renewables.ninja Wind (Point API) - 57.070, 10.595 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "57.0700771158148", "lon": "10.595433975644013", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6894.436,16.485
2019-01-01 01:00,2019-01-01 02:00,6897.092,18.218
2019-01-01 02:00,2019-01-01 03:00,6831.012,19.018
2019-01-01 03:00,2019-01-01 04:00,6710.527,19.788
2019-01-01 04:00,2019-01-01 05:00,6534.600,20.493
2019-01-01 05:00,2019-01-01 06:00,6360.384,21.014
2019-01-01 06:00,2019-01-01 07:00,6390.386,20.934
2019-01-01 07:00,2019-01-01 08:00,6484.943,20.656
2019-01-01 08:00,2019-01-01 09:00,6399.878,20.908
2019-01-01 09:00,2019-01-01 10:00,6269.315,21.241
2019-01-01 10:00,2019-01-01 11:00,6307.393,21.149
2019-01-01 11:00,2019-01-01 12:00,6351.193,21.038
2019-01-01 12:00,2019-01-01 13:00,6492.646,20.636
2019-01-01 13:00,2019-01-01 14:00,6675.747,19.952
2019-01-01 14:00,2019-01-01 15:00,6821.916,19.094
2019-01-01 15:00,2019-01-01 16:00,6892.439,18.297
2019-01-01 16:00,2019-01-01 17:00,6881.194,18.478
2019-01-01 17:00,2019-01-01 18:00,6813.493,19.160
2019-01-01 18:00,2019-01-01 19:00,6762.321,19.505
2019-01-01 19:00,2019-01-01 20:00,6771.390,19.446
2019-01-01 20:00,2019-01-01 21:00,6767.110,19.476
2019-01-01 21:00,2019-01-01 22:00,6680.966,19.921
2019-01-01 22:00,2019-01-01 23:00,6597.211,20.274
2019-01-01 23:00,2019-01-02 00:00,6644.273,20.090
2019-01-02 00:00,2019-01-02 01:00,6680.962,19.923
2019-01-02 01:00,2019-01-02 02:00,6773.219,19.434
2019-01-02 02:00,2019-01-02 03:00,6868.445,18.637
2019-01-02 03:00,2019-01-02 04:00,6899.386,18.172
2019-01-02 04:00,2019-01-02 05:00,6913.007,17.788
2019-01-02 05:00,2019-01-02 06:00,6915.207,17.118
2019-01-02 06:00,2019-01-02 07:00,6888.894,16.377
2019-01-02 07:00,2019-01-02 08:00,6801.657,15.354
2019-01-02 08:00,2019-01-02 09:00,6618.890,14.197
2019-01-02 09:00,2019-01-02 10:00,6458.303,13.522
2019-01-02 10:00,2019-01-02 11:00,6360.603,13.188
2019-01-02 11:00,2019-01-02 12:00,6342.180,13.130
2019-01-02 12:00,2019-01-02 13:00,6258.242,12.877
2019-01-02 13:00,2019-01-02 14:00,6039.220,12.308
2019-01-02 14:00,2019-01-02 15:00,5729.390,11.646
2019-01-02 15:00,2019-01-02 16:00,5297.067,10.918
2019-01-02 16:00,2019-01-02 17:00,4711.518,10.101
2019-01-02 17:00,2019-01-02 18:00,4014.136,9.292
2019-01-02 18:00,2019-01-02 19:00,3295.703,8.516
2019-01-02 19:00,2019-01-02 20:00,2587.904,7.770
2019-01-02 20:00,2019-01-02 21:00,2159.978,7.297
2019-01-02 21:00,2019-01-02 22:00,2322.697,7.480
2019-01-02 22:00,2019-01-02 23:00,2907.295,8.110
2019-01-02 23:00,2019-01-03 00:00,3532.198,8.770
2019-01-03 00:00,2019-01-03 01:00,3893.044,9.149
2019-01-03 01:00,2019-01-03 02:00,3931.138,9.200
2019-01-03 02:00,2019-01-03 03:00,3829.042,9.089
2019-01-03 03:00,2019-01-03 04:00,3710.112,8.960
2019-01-03 04:00,2019-01-03 05:00,3569.788,8.807
2019-01-03 05:00,2019-01-03 06:00,3333.585,8.550
2019-01-03 06:00,2019-01-03 07:00,3095.352,8.300
2019-01-03 07:00,2019-01-03 08:00,2906.085,8.100
2019-01-03 08:00,2019-01-03 09:00,2564.566,7.738
2019-01-03 09:00,2019-01-03 10:00,2135.847,7.261
2019-01-03 10:00,2019-01-03 11:00,1662.184,6.700
2019-01-03 11:00,2019-01-03 12:00,1454.113,6.419
2019-01-03 12:00,2019-01-03 13:00,1482.447,6.458
2019-01-03 13:00,2019-01-03 14:00,1607.764,6.631
2019-01-03 14:00,2019-01-03 15:00,1871.318,6.955
2019-01-03 15:00,2019-01-03 16:00,2340.705,7.499
2019-01-03 16:00,2019-01-03 17:00,2744.931,7.938
2019-01-03 17:00,2019-01-03 18:00,2995.879,8.204
2019-01-03 18:00,2019-01-03 19:00,3017.974,8.228
2019-01-03 19:00,2019-01-03 20:00,3295.736,8.518
2019-01-03 20:00,2019-01-03 21:00,3513.335,8.745
2019-01-03 21:00,2019-01-03 22:00,3802.737,9.058
2019-01-03 22:00,2019-01-03 23:00,4154.989,9.439
2019-01-03 23:00,2019-01-04 00:00,4442.653,9.782
2019-01-04 00:00,2019-01-04 01:00,4565.952,9.928
2019-01-04 01:00,2019-01-04 02:00,4769.182,10.182
2019-01-04 02:00,2019-01-04 03:00,4842.617,10.279
2019-01-04 03:00,2019-01-04 04:00,4399.188,9.730
2019-01-04 04:00,2019-01-04 05:00,4079.689,9.364
2019-01-04 05:00,2019-01-04 06:00,4101.479,9.389
2019-01-04 06:00,2019-01-04 07:00,4086.942,9.373
2019-01-04 07:00,2019-01-04 08:00,4056.417,9.339
2019-01-04 08:00,2019-01-04 09:00,4010.021,9.287
2019-01-04 09:00,2019-01-04 10:00,4043.604,9.324
2019-01-04 10:00,2019-01-04 11:00,4370.941,9.689
2019-01-04 11:00,2019-01-04 12:00,4889.641,10.333
2019-01-04 12:00,2019-01-04 13:00,5543.929,11.317
2019-01-04 13:00,2019-01-04 14:00,5984.602,12.181
2019-01-04 14:00,2019-01-04 15:00,6167.779,12.628
2019-01-04 15:00,2019-01-04 16:00,6153.699,12.582
2019-01-04 16:00,2019-01-04 17:00,6061.605,12.351
2019-01-04 17:00,2019-01-04 18:00,5937.693,12.078
2019-01-04 18:00,2019-01-04 19:00,5798.871,11.779
2019-01-04 19:00,2019-01-04 20:00,5678.903,11.558
2019-01-04 20:00,2019-01-04 21:00,5516.268,11.269
2019-01-04 21:00,2019-01-04 22:00,5366.816,11.026
2019-01-04 22:00,2019-01-04 23:00,5244.370,10.829
2019-01-04 23:00,2019-01-05 00:00,5013.845,10.508
2019-01-05 00:00,2019-01-05 01:00,4695.406,10.087
2019-01-05 01:00,2019-01-05 02:00,4549.498,9.908
2019-01-05 02:00,2019-01-05 03:00,4508.150,9.860
2019-01-05 03:00,2019-01-05 04:00,4730.183,10.134
2019-01-05 04:00,2019-01-05 05:00,4971.634,10.445
2019-01-05 05:00,2019-01-05 06:00,5032.319,10.533
2019-01-05 06:00,2019-01-05 07:00,5034.629,10.537
2019-01-05 07:00,2019-01-05 08:00,4480.558,9.823
2019-01-05 08:00,2019-01-05 09:00,3532.170,8.765
2019-01-05 09:00,2019-01-05 10:00,2671.423,7.854
2019-01-05 10:00,2019-01-05 11:00,1624.299,6.652
2019-01-05 11:00,2019-01-05 12:00,807.466,5.408
2019-01-05 12:00,2019-01-05 13:00,371.746,4.392
2019-01-05 13:00,2019-01-05 14:00,183.030,3.724
2019-01-05 14:00,2019-01-05 15:00,86.909,3.195
2019-01-05 15:00,2019-01-05 16:00,52.941,2.917
2019-01-05 16:00,2019-01-05 17:00,37.089,2.736
2019-01-05 17:00,2019-01-05 18:00,18.407,2.438
2019-01-05 18:00,2019-01-05 19:00,6.867,2.085
2019-01-05 19:00,2019-01-05 20:00,9.323,2.191
2019-01-05 20:00,2019-01-05 21:00,27.492,2.603
2019-01-05 21:00,2019-01-05 22:00,69.633,3.067
2019-01-05 22:00,2019-01-05 23:00,146.544,3.555
2019-01-05 23:00,2019-01-06 00:00,234.507,3.941
2019-01-06 00:00,2019-01-06 01:00,315.998,4.229
2019-01-06 01:00,2019-01-06 02:00,431.018,4.568
2019-01-06 02:00,2019-01-06 03:00,537.860,4.839
2019-01-06 03:00,2019-01-06 04:00,582.686,4.944
2019-01-06 04:00,2019-01-06 05:00,577.855,4.933
2019-01-06 05:00,2019-01-06 06:00,579.803,4.937
2019-01-06 06:00,2019-01-06 07:00,583.344,4.945
2019-01-06 07:00,2019-01-06 08:00,626.644,5.033
2019-01-06 08:00,2019-01-06 09:00,690.874,5.178
2019-01-06 09:00,2019-01-06 10:00,769.415,5.335
2019-01-06 10:00,2019-01-06 11:00,836.956,5.453
2019-01-06 11:00,2019-01-06 12:00,840.153,5.459
2019-01-06 12:00,2019-01-06 13:00,840.628,5.463
2019-01-06 13:00,2019-01-06 14:00,851.870,5.490
2019-01-06 14:00,2019-01-06 15:00,805.743,5.404
2019-01-06 15:00,2019-01-06 16:00,696.385,5.189
2019-01-06 16:00,2019-01-06 17:00,505.246,4.760
2019-01-06 17:00,2019-01-06 18:00,327.669,4.266
2019-01-06 18:00,2019-01-06 19:00,292.247,4.141
2019-01-06 19:00,2019-01-06 20:00,434.783,4.579
2019-01-06 20:00,2019-01-06 21:00,643.811,5.070
2019-01-06 21:00,2019-01-06 22:00,640.037,5.062
2019-01-06 22:00,2019-01-06 23:00,471.153,4.674
2019-01-06 23:00,2019-01-07 00:00,305.471,4.195
2019-01-07 00:00,2019-01-07 01:00,297.861,4.169
2019-01-07 01:00,2019-01-07 02:00,405.754,4.499
2019-01-07 02:00,2019-01-07 03:00,461.386,4.640
2019-01-07 03:00,2019-01-07 04:00,687.090,5.170
2019-01-07 04:00,2019-01-07 05:00,1095.859,5.904
2019-01-07 05:00,2019-01-07 06:00,1409.014,6.363
2019-01-07 06:00,2019-01-07 07:00,1793.176,6.862
2019-01-07 07:00,2019-01-07 08:00,2403.647,7.569
2019-01-07 08:00,2019-01-07 09:00,3163.713,8.381
2019-01-07 09:00,2019-01-07 10:00,3345.651,8.566
2019-01-07 10:00,2019-01-07 11:00,3333.619,8.553
