# Renewables.ninja Wind (Point API) - 55.127, 12.872 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Stockholm, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Stockholm", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "55.126877219703736", "lon": "12.872110024410565", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6755.056,14.986
2019-01-01 01:00,2019-01-01 02:00,6853.427,15.872
2019-01-01 02:00,2019-01-01 03:00,6885.872,16.324
2019-01-01 03:00,2019-01-01 04:00,6915.643,17.143
2019-01-01 04:00,2019-01-01 05:00,6917.134,17.298
2019-01-01 05:00,2019-01-01 06:00,6909.741,16.866
2019-01-01 06:00,2019-01-01 07:00,6915.205,17.118
2019-01-01 07:00,2019-01-01 08:00,6916.407,17.583
2019-01-01 08:00,2019-01-01 09:00,6884.749,18.419
2019-01-01 09:00,2019-01-01 10:00,6795.706,19.285
2019-01-01 10:00,2019-01-01 11:00,6663.734,20.004
2019-01-01 11:00,2019-01-01 12:00,6368.675,20.992
2019-01-01 12:00,2019-01-01 13:00,6242.867,21.302
2019-01-01 13:00,2019-01-01 14:00,6340.685,21.058
2019-01-01 14:00,2019-01-01 15:00,6585.807,20.317
2019-01-01 15:00,2019-01-01 16:00,6762.569,19.504
2019-01-01 16:00,2019-01-01 17:00,6878.578,18.515
2019-01-01 17:00,2019-01-01 18:00,6916.149,17.608
2019-01-01 18:00,2019-01-01 19:00,6909.954,16.875
2019-01-01 19:00,2019-01-01 20:00,6906.487,16.764
2019-01-01 20:00,2019-01-01 21:00,6914.523,17.077
2019-01-01 21:00,2019-01-01 22:00,6916.551,17.572
2019-01-01 22:00,2019-01-01 23:00,6910.482,17.884
2019-01-01 23:00,2019-01-02 00:00,6903.018,18.091
2019-01-02 00:00,2019-01-02 01:00,6898.618,18.187
