# Renewables.ninja Wind (Point API) - 55.595, 7.943 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "55.595427579353746", "lon": "7.942583467937759", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6886.644,16.335
2019-01-01 01:00,2019-01-01 02:00,6896.015,16.518
2019-01-01 02:00,2019-01-01 03:00,6896.905,16.536
2019-01-01 03:00,2019-01-01 04:00,6917.366,17.343
2019-01-01 04:00,2019-01-01 05:00,6865.326,18.678
2019-01-01 05:00,2019-01-01 06:00,6742.033,19.622
2019-01-01 06:00,2019-01-01 07:00,6604.017,20.251
2019-01-01 07:00,2019-01-01 08:00,6528.609,20.513
2019-01-01 08:00,2019-01-01 09:00,6494.565,20.620
2019-01-01 09:00,2019-01-01 10:00,6388.103,20.940
2019-01-01 10:00,2019-01-01 11:00,6092.544,21.629
2019-01-01 11:00,2019-01-01 12:00,5873.323,22.043
2019-01-01 12:00,2019-01-01 13:00,5762.758,22.226
2019-01-01 13:00,2019-01-01 14:00,5676.773,22.370
2019-01-01 14:00,2019-01-01 15:00,5451.971,22.701
2019-01-01 15:00,2019-01-01 16:00,5270.479,22.964
2019-01-01 16:00,2019-01-01 17:00,5279.809,22.946
2019-01-01 17:00,2019-01-01 18:00,5565.673,22.542
2019-01-01 18:00,2019-01-01 19:00,5935.783,21.931
2019-01-01 19:00,2019-01-01 20:00,6365.419,21.001
2019-01-01 20:00,2019-01-01 21:00,6528.603,20.517
2019-01-01 21:00,2019-01-01 22:00,6617.529,20.190
2019-01-01 22:00,2019-01-01 23:00,6708.497,19.798
2019-01-01 23:00,2019-01-02 00:00,6817.458,19.129
2019-01-02 00:00,2019-01-02 01:00,6890.417,18.328
2019-01-02 01:00,2019-01-02 02:00,6916.506,17.575
2019-01-02 02:00,2019-01-02 03:00,6910.794,16.911
2019-01-02 03:00,2019-01-02 04:00,6882.449,16.260
2019-01-02 04:00,2019-01-02 05:00,6822.874,15.547
2019-01-02 05:00,2019-01-02 06:00,6717.691,14.744
2019-01-02 06:00,2019-01-02 07:00,6555.691,13.900
2019-01-02 07:00,2019-01-02 08:00,6273.418,12.915
2019-01-02 08:00,2019-01-02 09:00,5922.727,12.045
2019-01-02 09:00,2019-01-02 10:00,5504.698,11.244
2019-01-02 10:00,2019-01-02 11:00,4941.846,10.409
2019-01-02 11:00,2019-01-02 12:00,4711.272,10.108
2019-01-02 12:00,2019-01-02 13:00,4413.087,9.738
2019-01-02 13:00,2019-01-02 14:00,4343.825,9.663
2019-01-02 14:00,2019-01-02 15:00,4373.338,9.696
2019-01-02 15:00,2019-01-02 16:00,4245.317,9.552
2019-01-02 16:00,2019-01-02 17:00,3959.038,9.230
2019-01-02 17:00,2019-01-02 18:00,3678.918,8.918
2019-01-02 18:00,2019-01-02 19:00,3407.958,8.638
2019-01-02 19:00,2019-01-02 20:00,3175.430,8.392
2019-01-02 20:00,2019-01-02 21:00,2982.684,8.190
2019-01-02 21:00,2019-01-02 22:00,2925.666,8.130
2019-01-02 22:00,2019-01-02 23:00,3039.271,8.248
2019-01-02 23:00,2019-01-03 00:00,3276.703,8.495
2019-01-03 00:00,2019-01-03 01:00,3513.343,8.746
2019-01-03 01:00,2019-01-03 02:00,3597.944,8.835
2019-01-03 02:00,2019-01-03 03:00,3492.799,8.728
2019-01-03 03:00,2019-01-03 04:00,3328.631,8.547
2019-01-03 04:00,2019-01-03 05:00,3096.235,8.308
2019-01-03 05:00,2019-01-03 06:00,2840.376,8.034
2019-01-03 06:00,2019-01-03 07:00,2500.492,7.666
2019-01-03 07:00,2019-01-03 08:00,2079.467,7.205
2019-01-03 08:00,2019-01-03 09:00,1683.421,6.724
2019-01-03 09:00,2019-01-03 10:00,1543.807,6.548
2019-01-03 10:00,2019-01-03 11:00,1576.057,6.589
2019-01-03 11:00,2019-01-03 12:00,1517.623,6.513
2019-01-03 12:00,2019-01-03 13:00,1526.934,6.525
2019-01-03 13:00,2019-01-03 14:00,1829.159,6.908
2019-01-03 14:00,2019-01-03 15:00,2340.690,7.498
2019-01-03 15:00,2019-01-03 16:00,2440.493,7.606
2019-01-03 16:00,2019-01-03 17:00,1935.585,7.036
2019-01-03 17:00,2019-01-03 18:00,2040.814,7.160
2019-01-03 18:00,2019-01-03 19:00,2977.301,8.185
2019-01-03 19:00,2019-01-03 20:00,3644.441,8.890
2019-01-03 20:00,2019-01-03 21:00,4029.072,9.308
2019-01-03 21:00,2019-01-03 22:00,4416.543,9.751
2019-01-03 22:00,2019-01-03 23:00,5012.062,10.506
2019-01-03 23:00,2019-01-04 00:00,5354.151,11.003
2019-01-04 00:00,2019-01-04 01:00,5527.229,11.279
2019-01-04 01:00,2019-01-04 02:00,5780.137,11.741
2019-01-04 02:00,2019-01-04 03:00,5937.664,12.078
2019-01-04 03:00,2019-01-04 04:00,6080.057,12.397
2019-01-04 04:00,2019-01-04 05:00,6269.305,12.899
2019-01-04 05:00,2019-01-04 06:00,6306.120,13.008
2019-01-04 06:00,2019-01-04 07:00,6351.960,13.155
2019-01-04 07:00,2019-01-04 08:00,6396.440,13.307
2019-01-04 08:00,2019-01-04 09:00,6464.322,13.547
2019-01-04 09:00,2019-01-04 10:00,6510.062,13.723
2019-01-04 10:00,2019-01-04 11:00,6578.484,14.011
2019-01-04 11:00,2019-01-04 12:00,6578.655,14.012
2019-01-04 12:00,2019-01-04 13:00,6572.513,13.982
2019-01-04 13:00,2019-01-04 14:00,6550.596,13.889
2019-01-04 14:00,2019-01-04 15:00,6548.668,13.881
2019-01-04 15:00,2019-01-04 16:00,6611.355,14.162
2019-01-04 16:00,2019-01-04 17:00,6632.636,14.268
2019-01-04 17:00,2019-01-04 18:00,6669.309,14.461
2019-01-04 18:00,2019-01-04 19:00,6690.501,14.575
2019-01-04 19:00,2019-01-04 20:00,6722.491,14.774
2019-01-04 20:00,2019-01-04 21:00,6774.729,15.137
2019-01-04 21:00,2019-01-04 22:00,6824.215,15.555
2019-01-04 22:00,2019-01-04 23:00,6846.845,15.796
2019-01-04 23:00,2019-01-05 00:00,6868.885,16.059
2019-01-05 00:00,2019-01-05 01:00,6885.016,16.306
2019-01-05 01:00,2019-01-05 02:00,6901.404,16.638
2019-01-05 02:00,2019-01-05 03:00,6906.472,16.766
2019-01-05 03:00,2019-01-05 04:00,6898.530,16.561
2019-01-05 04:00,2019-01-05 05:00,6878.263,16.205
2019-01-05 05:00,2019-01-05 06:00,6834.178,15.648
2019-01-05 06:00,2019-01-05 07:00,6718.923,14.751
2019-01-05 07:00,2019-01-05 08:00,6494.407,13.652
2019-01-05 08:00,2019-01-05 09:00,6126.094,12.518
2019-01-05 09:00,2019-01-05 10:00,5696.743,11.582
2019-01-05 10:00,2019-01-05 11:00,5146.039,10.694
2019-01-05 11:00,2019-01-05 12:00,4373.287,9.698
2019-01-05 12:00,2019-01-05 13:00,3933.609,9.203
2019-01-05 13:00,2019-01-05 14:00,3584.190,8.823
2019-01-05 14:00,2019-01-05 15:00,3467.581,8.701
2019-01-05 15:00,2019-01-05 16:00,3553.574,8.791
2019-01-05 16:00,2019-01-05 17:00,3428.391,8.657
2019-01-05 17:00,2019-01-05 18:00,3230.031,8.451
2019-01-05 18:00,2019-01-05 19:00,3024.881,8.232
2019-01-05 19:00,2019-01-05 20:00,3191.130,8.401
2019-01-05 20:00,2019-01-05 21:00,3163.339,8.381
2019-01-05 21:00,2019-01-05 22:00,3336.883,8.562
2019-01-05 22:00,2019-01-05 23:00,3405.017,8.635
2019-01-05 23:00,2019-01-06 00:00,3245.724,8.467
2019-01-06 00:00,2019-01-06 01:00,3043.959,8.252
2019-01-06 01:00,2019-01-06 02:00,2859.331,8.057
2019-01-06 02:00,2019-01-06 03:00,2852.224,8.046
2019-01-06 03:00,2019-01-06 04:00,2737.092,7.930
2019-01-06 04:00,2019-01-06 05:00,2835.823,8.028
2019-01-06 05:00,2019-01-06 06:00,3039.223,8.246
2019-01-06 06:00,2019-01-06 07:00,3215.251,8.433
2019-01-06 07:00,2019-01-06 08:00,3597.942,8.835
2019-01-06 08:00,2019-01-06 09:00,3879.499,9.142
2019-01-06 09:00,2019-01-06 10:00,3994.746,9.264
2019-01-06 10:00,2019-01-06 11:00,4155.858,9.445
2019-01-06 11:00,2019-01-06 12:00,4339.147,9.653
2019-01-06 12:00,2019-01-06 13:00,4504.068,9.855
