# Renewables.ninja Wind (Point API) - 55.183, 10.221 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "55.183008850285916", "lon": "10.221256266364106", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6653.186,14.374
2019-01-01 01:00,2019-01-01 02:00,6780.451,15.175
2019-01-01 02:00,2019-01-01 03:00,6834.919,15.667
2019-01-01 03:00,2019-01-01 04:00,6840.189,15.723
2019-01-01 04:00,2019-01-01 05:00,6866.755,16.040
2019-01-01 05:00,2019-01-01 06:00,6907.394,16.798
2019-01-01 06:00,2019-01-01 07:00,6904.674,16.721
2019-01-01 07:00,2019-01-01 08:00,6910.175,16.889
2019-01-01 08:00,2019-01-01 09:00,6917.351,17.328
2019-01-01 09:00,2019-01-01 10:00,6912.341,17.809
2019-01-01 10:00,2019-01-01 11:00,6884.382,18.432
2019-01-01 11:00,2019-01-01 12:00,6795.512,19.291
2019-01-01 12:00,2019-01-01 13:00,6752.336,19.564
2019-01-01 13:00,2019-01-01 14:00,6762.440,19.505
2019-01-01 14:00,2019-01-01 15:00,6736.182,19.655
2019-01-01 15:00,2019-01-01 16:00,6780.785,19.390
2019-01-01 16:00,2019-01-01 17:00,6879.793,18.489
2019-01-01 17:00,2019-01-01 18:00,6915.118,17.680
2019-01-01 18:00,2019-01-01 19:00,6908.113,16.820
2019-01-01 19:00,2019-01-01 20:00,6875.344,16.155
2019-01-01 20:00,2019-01-01 21:00,6840.437,15.726
2019-01-01 21:00,2019-01-01 22:00,6828.863,15.597
2019-01-01 22:00,2019-01-01 23:00,6812.228,15.448
2019-01-01 23:00,2019-01-02 00:00,6829.543,15.611
2019-01-02 00:00,2019-01-02 01:00,6856.677,15.900
2019-01-02 01:00,2019-01-02 02:00,6871.729,16.108
2019-01-02 02:00,2019-01-02 03:00,6846.168,15.788
2019-01-02 03:00,2019-01-02 04:00,6812.604,15.451
2019-01-02 04:00,2019-01-02 05:00,6803.297,15.368
2019-01-02 05:00,2019-01-02 06:00,6758.490,15.016
2019-01-02 06:00,2019-01-02 07:00,6680.860,14.525
2019-01-02 07:00,2019-01-02 08:00,6555.467,13.907
2019-01-02 08:00,2019-01-02 09:00,6337.130,13.114
2019-01-02 09:00,2019-01-02 10:00,6177.264,12.646
2019-01-02 10:00,2019-01-02 11:00,6059.232,12.347
2019-01-02 11:00,2019-01-02 12:00,5885.407,11.965
2019-01-02 12:00,2019-01-02 13:00,5708.927,11.614
2019-01-02 13:00,2019-01-02 14:00,5577.964,11.376
2019-01-02 14:00,2019-01-02 15:00,5299.161,10.921
2019-01-02 15:00,2019-01-02 16:00,4695.645,10.081
2019-01-02 16:00,2019-01-02 17:00,4120.336,9.406
2019-01-02 17:00,2019-01-02 18:00,3361.574,8.580
2019-01-02 18:00,2019-01-02 19:00,2926.450,8.131
2019-01-02 19:00,2019-01-02 20:00,2629.434,7.815
2019-01-02 20:00,2019-01-02 21:00,2388.731,7.553
2019-01-02 21:00,2019-01-02 22:00,2235.021,7.381
2019-01-02 22:00,2019-01-02 23:00,2145.792,7.276
2019-01-02 23:00,2019-01-03 00:00,2136.170,7.268
2019-01-03 00:00,2019-01-03 01:00,2218.014,7.361
2019-01-03 01:00,2019-01-03 02:00,2340.433,7.492
2019-01-03 02:00,2019-01-03 03:00,2383.441,7.547
2019-01-03 03:00,2019-01-03 04:00,2422.032,7.581
2019-01-03 04:00,2019-01-03 05:00,2436.763,7.598
2019-01-03 05:00,2019-01-03 06:00,2422.085,7.582
2019-01-03 06:00,2019-01-03 07:00,2401.645,7.567
2019-01-03 07:00,2019-01-03 08:00,2340.496,7.494
2019-01-03 08:00,2019-01-03 09:00,2258.542,7.399
2019-01-03 09:00,2019-01-03 10:00,1846.442,6.920
2019-01-03 10:00,2019-01-03 11:00,1474.746,6.453
2019-01-03 11:00,2019-01-03 12:00,1214.894,6.079
2019-01-03 12:00,2019-01-03 13:00,1085.608,5.888
2019-01-03 13:00,2019-01-03 14:00,1185.110,6.041
2019-01-03 14:00,2019-01-03 15:00,1274.195,6.168
2019-01-03 15:00,2019-01-03 16:00,1249.199,6.138
2019-01-03 16:00,2019-01-03 17:00,1371.373,6.313
2019-01-03 17:00,2019-01-03 18:00,1550.029,6.556
2019-01-03 18:00,2019-01-03 19:00,1818.701,6.888
2019-01-03 19:00,2019-01-03 20:00,2250.961,7.390
2019-01-03 20:00,2019-01-03 21:00,2671.375,7.853
2019-01-03 21:00,2019-01-03 22:00,2931.296,8.136
2019-01-03 22:00,2019-01-03 23:00,3058.202,8.266
2019-01-03 23:00,2019-01-04 00:00,3376.508,8.605
2019-01-04 00:00,2019-01-04 01:00,3802.754,9.053
2019-01-04 01:00,2019-01-04 02:00,4199.613,9.490
2019-01-04 02:00,2019-01-04 03:00,4396.036,9.727
2019-01-04 03:00,2019-01-04 04:00,4691.989,10.078
2019-01-04 04:00,2019-01-04 05:00,4711.235,10.109
2019-01-04 05:00,2019-01-04 06:00,5083.546,10.597
2019-01-04 06:00,2019-01-04 07:00,5326.170,10.963
2019-01-04 07:00,2019-01-04 08:00,5407.200,11.085
2019-01-04 08:00,2019-01-04 09:00,5363.476,11.021
2019-01-04 09:00,2019-01-04 10:00,5122.554,10.655
2019-01-04 10:00,2019-01-04 11:00,4874.758,10.320
2019-01-04 11:00,2019-01-04 12:00,4802.689,10.227
2019-01-04 12:00,2019-01-04 13:00,4922.799,10.384
2019-01-04 13:00,2019-01-04 14:00,5073.172,10.584
2019-01-04 14:00,2019-01-04 15:00,5431.847,11.128
2019-01-04 15:00,2019-01-04 16:00,5605.957,11.426
2019-01-04 16:00,2019-01-04 17:00,5631.366,11.471
2019-01-04 17:00,2019-01-04 18:00,5745.742,11.684
2019-01-04 18:00,2019-01-04 19:00,5701.938,11.595
2019-01-04 19:00,2019-01-04 20:00,5644.321,11.487
2019-01-04 20:00,2019-01-04 21:00,5593.469,11.396
2019-01-04 21:00,2019-01-04 22:00,5674.696,11.550
2019-01-04 22:00,2019-01-04 23:00,5714.168,11.624
2019-01-04 23:00,2019-01-05 00:00,5685.450,11.570
2019-01-05 00:00,2019-01-05 01:00,5584.292,11.387
2019-01-05 01:00,2019-01-05 02:00,5245.881,10.833
2019-01-05 02:00,2019-01-05 03:00,5154.054,10.706
2019-01-05 03:00,2019-01-05 04:00,4956.659,10.430
2019-01-05 04:00,2019-01-05 05:00,4647.453,10.030
2019-01-05 05:00,2019-01-05 06:00,4155.719,9.440
2019-01-05 06:00,2019-01-05 07:00,3642.525,8.888
2019-01-05 07:00,2019-01-05 08:00,3276.686,8.494
2019-01-05 08:00,2019-01-05 09:00,3058.260,8.269
2019-01-05 09:00,2019-01-05 10:00,2440.325,7.602
2019-01-05 10:00,2019-01-05 11:00,1884.314,6.975
2019-01-05 11:00,2019-01-05 12:00,1681.191,6.723
2019-01-05 12:00,2019-01-05 13:00,1455.604,6.425
2019-01-05 13:00,2019-01-05 14:00,1496.951,6.478
2019-01-05 14:00,2019-01-05 15:00,1805.548,6.874
2019-01-05 15:00,2019-01-05 16:00,1929.803,7.029
2019-01-05 16:00,2019-01-05 17:00,1756.597,6.819
2019-01-05 17:00,2019-01-05 18:00,1363.342,6.302
2019-01-05 18:00,2019-01-05 19:00,901.449,5.570
2019-01-05 19:00,2019-01-05 20:00,481.561,4.701
2019-01-05 20:00,2019-01-05 21:00,205.818,3.827
2019-01-05 21:00,2019-01-05 22:00,72.649,3.092
2019-01-05 22:00,2019-01-05 23:00,21.543,2.501
2019-01-05 23:00,2019-01-06 00:00,8.621,2.166
2019-01-06 00:00,2019-01-06 01:00,9.587,2.196
2019-01-06 01:00,2019-01-06 02:00,12.280,2.279
2019-01-06 02:00,2019-01-06 03:00,19.394,2.450
2019-01-06 03:00,2019-01-06 04:00,38.418,2.756
2019-01-06 04:00,2019-01-06 05:00,69.855,3.069
2019-01-06 05:00,2019-01-06 06:00,106.602,3.331
2019-01-06 06:00,2019-01-06 07:00,144.592,3.545
2019-01-06 07:00,2019-01-06 08:00,190.572,3.762
2019-01-06 08:00,2019-01-06 09:00,244.312,3.976
2019-01-06 09:00,2019-01-06 10:00,266.494,4.061
2019-01-06 10:00,2019-01-06 11:00,298.108,4.170
2019-01-06 11:00,2019-01-06 12:00,361.187,4.365
2019-01-06 12:00,2019-01-06 13:00,469.208,4.662
2019-01-06 13:00,2019-01-06 14:00,578.745,4.935
2019-01-06 14:00,2019-01-06 15:00,933.740,5.636
2019-01-06 15:00,2019-01-06 16:00,1395.561,6.344
2019-01-06 16:00,2019-01-06 17:00,1834.371,6.912
2019-01-06 17:00,2019-01-06 18:00,1948.342,7.051
2019-01-06 18:00,2019-01-06 19:00,1926.453,7.025
2019-01-06 19:00,2019-01-06 20:00,2135.837,7.261
2019-01-06 20:00,2019-01-06 21:00,2652.164,7.830
2019-01-06 21:00,2019-01-06 22:00,2840.351,8.034
2019-01-06 22:00,2019-01-06 23:00,2822.150,8.020
2019-01-06 23:00,2019-01-07 00:00,2591.916,7.772
2019-01-07 00:00,2019-01-07 01:00,2488.012,7.652
2019-01-07 01:00,2019-01-07 02:00,2569.040,7.741
2019-01-07 02:00,2019-01-07 03:00,2606.369,7.788
2019-01-07 03:00,2019-01-07 04:00,2521.189,7.698
2019-01-07 04:00,2019-01-07 05:00,2651.573,7.829
2019-01-07 05:00,2019-01-07 06:00,2764.663,7.959
2019-01-07 06:00,2019-01-07 07:00,2620.166,7.805
2019-01-07 07:00,2019-01-07 08:00,2736.988,7.927
2019-01-07 08:00,2019-01-07 09:00,2724.622,7.913
2019-01-07 09:00,2019-01-07 10:00,2535.364,7.713
2019-01-07 10:00,2019-01-07 11:00,2490.679,7.655
2019-01-07 11:00,2019-01-07 12:00,2601.083,7.777
2019-01-07 12:00,2019-01-07 13:00,2720.076,7.911
2019-01-07 13:00,2019-01-07 14:00,2804.818,8.001
2019-01-07 14:00,2019-01-07 15:00,3986.254,9.255
2019-01-07 15:00,2019-01-07 16:00,5240.922,10.826
2019-01-07 16:00,2019-01-07 17:00,5889.198,11.973
2019-01-07 17:00,2019-01-07 18:00,6005.191,12.229
2019-01-07 18:00,2019-01-07 19:00,6194.340,12.699
2019-01-07 19:00,2019-01-07 20:00,6393.055,13.295
2019-01-07 20:00,2019-01-07 21:00,6426.517,13.407
2019-01-07 21:00,2019-01-07 22:00,6368.516,13.214
2019-01-07 22:00,2019-01-07 23:00,6307.034,13.021
2019-01-07 23:00,2019-01-08 00:00,6235.697,12.813
2019-01-08 00:00,2019-01-08 01:00,6258.309,12.877
2019-01-08 01:00,2019-01-08 02:00,6312.204,13.037
2019-01-08 02:00,2019-01-08 03:00,6406.392,13.336
2019-01-08 03:00,2019-01-08 04:00,6516.971,13.748
2019-01-08 04:00,2019-01-08 05:00,6644.177,14.323
2019-01-08 05:00,2019-01-08 06:00,6533.037,13.816
2019-01-08 06:00,2019-01-08 07:00,6517.032,13.746
2019-01-08 07:00,2019-01-08 08:00,6493.383,13.648
2019-01-08 08:00,2019-01-08 09:00,6467.893,13.560
2019-01-08 09:00,2019-01-08 10:00,6535.354,13.823
2019-01-08 10:00,2019-01-08 11:00,6431.996,13.430
2019-01-08 11:00,2019-01-08 12:00,6201.422,12.718
2019-01-08 12:00,2019-01-08 13:00,6220.681,12.765
2019-01-08 13:00,2019-01-08 14:00,6504.383,13.700
2019-01-08 14:00,2019-01-08 15:00,6707.307,14.669
2019-01-08 15:00,2019-01-08 16:00,6812.277,15.448
2019-01-08 16:00,2019-01-08 17:00,6854.915,15.890
2019-01-08 17:00,2019-01-08 18:00,6875.367,16.152
2019-01-08 18:00,2019-01-08 19:00,6872.096,16.114
2019-01-08 19:00,2019-01-08 20:00,6859.630,15.938
2019-01-08 20:00,2019-01-08 21:00,6847.189,15.800
2019-01-08 21:00,2019-01-08 22:00,6833.922,15.646
2019-01-08 22:00,2019-01-08 23:00,6841.407,15.733
2019-01-08 23:00,2019-01-09 00:00,6829.320,15.608
2019-01-09 00:00,2019-01-09 01:00,6811.381,15.440
2019-01-09 01:00,2019-01-09 02:00,6801.356,15.352
2019-01-09 02:00,2019-01-09 03:00,6794.171,15.281
2019-01-09 03:00,2019-01-09 04:00,6765.910,15.067
2019-01-09 04:00,2019-01-09 05:00,6721.436,14.767
