# Renewables.ninja Wind (Point API) - 56.410, 9.223 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "56.410495815740525", "lon": "9.222746489779855", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6153.338,12.589
2019-01-01 01:00,2019-01-01 02:00,6341.969,13.129
2019-01-01 02:00,2019-01-01 03:00,6494.405,13.652
2019-01-01 03:00,2019-01-01 04:00,6635.996,14.285
2019-01-01 04:00,2019-01-01 05:00,6743.284,14.907
2019-01-01 05:00,2019-01-01 06:00,6837.642,15.696
2019-01-01 06:00,2019-01-01 07:00,6861.214,15.958
2019-01-01 07:00,2019-01-01 08:00,6880.121,16.232
2019-01-01 08:00,2019-01-01 09:00,6900.164,16.609
2019-01-01 09:00,2019-01-01 10:00,6908.111,16.809
2019-01-01 10:00,2019-01-01 11:00,6911.317,16.925
2019-01-01 11:00,2019-01-01 12:00,6914.519,17.077
2019-01-01 12:00,2019-01-01 13:00,6915.991,17.173
2019-01-01 13:00,2019-01-01 14:00,6917.413,17.354
2019-01-01 14:00,2019-01-01 15:00,6916.591,17.227
2019-01-01 15:00,2019-01-01 16:00,6897.267,16.544
2019-01-01 16:00,2019-01-01 17:00,6817.943,15.498
2019-01-01 17:00,2019-01-01 18:00,6704.187,14.654
2019-01-01 18:00,2019-01-01 19:00,6568.766,13.959
2019-01-01 19:00,2019-01-01 20:00,6462.747,13.532
2019-01-01 20:00,2019-01-01 21:00,6397.777,13.311
2019-01-01 21:00,2019-01-01 22:00,6365.033,13.203
2019-01-01 22:00,2019-01-01 23:00,6316.846,13.051
2019-01-01 23:00,2019-01-02 00:00,6264.465,12.892
2019-01-02 00:00,2019-01-02 01:00,6133.890,12.540
2019-01-02 01:00,2019-01-02 02:00,6002.243,12.222
2019-01-02 02:00,2019-01-02 03:00,5859.107,11.906
2019-01-02 03:00,2019-01-02 04:00,5843.046,11.877
2019-01-02 04:00,2019-01-02 05:00,5665.070,11.526
2019-01-02 05:00,2019-01-02 06:00,5374.036,11.038
2019-01-02 06:00,2019-01-02 07:00,5013.099,10.507
2019-01-02 07:00,2019-01-02 08:00,4482.174,9.824
2019-01-02 08:00,2019-01-02 09:00,4057.757,9.340
2019-01-02 09:00,2019-01-02 10:00,3245.854,8.467
2019-01-02 10:00,2019-01-02 11:00,2480.387,7.644
2019-01-02 11:00,2019-01-02 12:00,2153.562,7.285
2019-01-02 12:00,2019-01-02 13:00,1961.821,7.067
2019-01-02 13:00,2019-01-02 14:00,1946.970,7.050
2019-01-02 14:00,2019-01-02 15:00,2036.767,7.146
2019-01-02 15:00,2019-01-02 16:00,1830.347,6.910
2019-01-02 16:00,2019-01-02 17:00,1404.341,6.351
2019-01-02 17:00,2019-01-02 18:00,980.845,5.707
2019-01-02 18:00,2019-01-02 19:00,667.460,5.129
2019-01-02 19:00,2019-01-02 20:00,473.830,4.681
2019-01-02 20:00,2019-01-02 21:00,384.644,4.439
2019-01-02 21:00,2019-01-02 22:00,425.599,4.554
2019-01-02 22:00,2019-01-02 23:00,570.490,4.916
2019-01-02 23:00,2019-01-03 00:00,766.423,5.320
2019-01-03 00:00,2019-01-03 01:00,933.722,5.636
2019-01-03 01:00,2019-01-03 02:00,982.981,5.718
2019-01-03 02:00,2019-01-03 03:00,982.964,5.718
2019-01-03 03:00,2019-01-03 04:00,982.837,5.715
2019-01-03 04:00,2019-01-03 05:00,982.592,5.710
2019-01-03 05:00,2019-01-03 06:00,982.786,5.714
2019-01-03 06:00,2019-01-03 07:00,986.500,5.726
2019-01-03 07:00,2019-01-03 08:00,976.524,5.700
2019-01-03 08:00,2019-01-03 09:00,936.633,5.641
2019-01-03 09:00,2019-01-03 10:00,910.295,5.595
2019-01-03 10:00,2019-01-03 11:00,766.461,5.320
2019-01-03 11:00,2019-01-03 12:00,643.970,5.071
2019-01-03 12:00,2019-01-03 13:00,751.862,5.292
2019-01-03 13:00,2019-01-03 14:00,1060.502,5.848
2019-01-03 14:00,2019-01-03 15:00,1414.626,6.367
2019-01-03 15:00,2019-01-03 16:00,1575.865,6.585
2019-01-03 16:00,2019-01-03 17:00,1846.855,6.929
2019-01-03 17:00,2019-01-03 18:00,2458.028,7.620
2019-01-03 18:00,2019-01-03 19:00,2972.712,8.172
2019-01-03 19:00,2019-01-03 20:00,3165.797,8.383
2019-01-03 20:00,2019-01-03 21:00,3377.676,8.606
2019-01-03 21:00,2019-01-03 22:00,3682.112,8.925
2019-01-03 22:00,2019-01-03 23:00,3890.660,9.148
2019-01-03 23:00,2019-01-04 00:00,3902.182,9.164
2019-01-04 00:00,2019-01-04 01:00,3913.734,9.180
2019-01-04 01:00,2019-01-04 02:00,3976.658,9.241
2019-01-04 02:00,2019-01-04 03:00,4120.334,9.406
2019-01-04 03:00,2019-01-04 04:00,4061.733,9.344
2019-01-04 04:00,2019-01-04 05:00,3994.764,9.262
2019-01-04 05:00,2019-01-04 06:00,3985.959,9.255
2019-01-04 06:00,2019-01-04 07:00,3994.747,9.264
2019-01-04 07:00,2019-01-04 08:00,3964.490,9.233
2019-01-04 08:00,2019-01-04 09:00,3931.200,9.192
2019-01-04 09:00,2019-01-04 10:00,3748.042,9.000
2019-01-04 10:00,2019-01-04 11:00,3747.212,9.000
2019-01-04 11:00,2019-01-04 12:00,4225.156,9.529
2019-01-04 12:00,2019-01-04 13:00,4678.263,10.069
2019-01-04 13:00,2019-01-04 14:00,5110.083,10.641
2019-01-04 14:00,2019-01-04 15:00,5311.131,10.940
2019-01-04 15:00,2019-01-04 16:00,5535.875,11.303
2019-01-04 16:00,2019-01-04 17:00,5528.411,11.283
2019-01-04 17:00,2019-01-04 18:00,5536.911,11.305
2019-01-04 18:00,2019-01-04 19:00,5474.250,11.200
2019-01-04 19:00,2019-01-04 20:00,5427.370,11.116
