# Renewables.ninja Wind (Point API) - 56.898, 9.407 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "56.897880285886814", "lon": "9.406553544635113", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6618.763,14.189
2019-01-01 01:00,2019-01-01 02:00,6765.942,15.065
2019-01-01 02:00,2019-01-01 03:00,6822.030,15.539
2019-01-01 03:00,2019-01-01 04:00,6890.560,16.404
2019-01-01 04:00,2019-01-01 05:00,6915.862,17.152
2019-01-01 05:00,2019-01-01 06:00,6917.400,17.439
2019-01-01 06:00,2019-01-01 07:00,6917.356,17.342
2019-01-01 07:00,2019-01-01 08:00,6916.142,17.610
2019-01-01 08:00,2019-01-01 09:00,6910.464,17.885
2019-01-01 09:00,2019-01-01 10:00,6908.023,17.962
2019-01-01 10:00,2019-01-01 11:00,6909.532,17.913
2019-01-01 11:00,2019-01-01 12:00,6908.900,17.936
2019-01-01 12:00,2019-01-01 13:00,6906.926,17.993
2019-01-01 13:00,2019-01-01 14:00,6911.498,17.848
2019-01-01 14:00,2019-01-01 15:00,6916.858,17.257
2019-01-01 15:00,2019-01-01 16:00,6892.104,16.435
2019-01-01 16:00,2019-01-01 17:00,6842.705,15.750
2019-01-01 17:00,2019-01-01 18:00,6799.444,15.335
2019-01-01 18:00,2019-01-01 19:00,6751.958,14.968
2019-01-01 19:00,2019-01-01 20:00,6732.843,14.835
2019-01-01 20:00,2019-01-01 21:00,6684.773,14.547
2019-01-01 21:00,2019-01-01 22:00,6639.806,14.302
2019-01-01 22:00,2019-01-01 23:00,6637.943,14.295
2019-01-01 23:00,2019-01-02 00:00,6618.797,14.200
2019-01-02 00:00,2019-01-02 01:00,6547.069,13.875
2019-01-02 01:00,2019-01-02 02:00,6466.050,13.553
2019-01-02 02:00,2019-01-02 03:00,6367.099,13.209
2019-01-02 03:00,2019-01-02 04:00,6226.990,12.788
2019-01-02 04:00,2019-01-02 05:00,6070.679,12.383
2019-01-02 05:00,2019-01-02 06:00,5871.882,11.933
2019-01-02 06:00,2019-01-02 07:00,5571.622,11.365
2019-01-02 07:00,2019-01-02 08:00,5009.739,10.502
2019-01-02 08:00,2019-01-02 09:00,4445.524,9.785
2019-01-02 09:00,2019-01-02 10:00,3947.742,9.218
2019-01-02 10:00,2019-01-02 11:00,3434.468,8.663
2019-01-02 11:00,2019-01-02 12:00,3121.165,8.326
2019-01-02 12:00,2019-01-02 13:00,2821.515,8.014
2019-01-02 13:00,2019-01-02 14:00,2592.897,7.773
2019-01-02 14:00,2019-01-02 15:00,2360.458,7.521
2019-01-02 15:00,2019-01-02 16:00,1934.744,7.035
2019-01-02 16:00,2019-01-02 17:00,1419.206,6.378
2019-01-02 17:00,2019-01-02 18:00,968.945,5.693
2019-01-02 18:00,2019-01-02 19:00,637.831,5.057
2019-01-02 19:00,2019-01-02 20:00,424.111,4.546
2019-01-02 20:00,2019-01-02 21:00,342.105,4.312
2019-01-02 21:00,2019-01-02 22:00,441.617,4.597
2019-01-02 22:00,2019-01-02 23:00,675.946,5.147
2019-01-02 23:00,2019-01-03 00:00,953.894,5.670
2019-01-03 00:00,2019-01-03 01:00,1150.619,5.985
2019-01-03 01:00,2019-01-03 02:00,1183.121,6.031
2019-01-03 02:00,2019-01-03 03:00,1145.050,5.972
2019-01-03 03:00,2019-01-03 04:00,1076.812,5.874
2019-01-03 04:00,2019-01-03 05:00,1063.575,5.853
2019-01-03 05:00,2019-01-03 06:00,1079.958,5.879
2019-01-03 06:00,2019-01-03 07:00,1150.394,5.980
2019-01-03 07:00,2019-01-03 08:00,1170.184,6.015
2019-01-03 08:00,2019-01-03 09:00,1166.089,6.007
2019-01-03 09:00,2019-01-03 10:00,1103.328,5.916
2019-01-03 10:00,2019-01-03 11:00,928.134,5.626
2019-01-03 11:00,2019-01-03 12:00,847.322,5.482
2019-01-03 12:00,2019-01-03 13:00,1050.613,5.832
2019-01-03 13:00,2019-01-03 14:00,1423.256,6.385
2019-01-03 14:00,2019-01-03 15:00,1772.964,6.833
2019-01-03 15:00,2019-01-03 16:00,1950.125,7.054
2019-01-03 16:00,2019-01-03 17:00,2340.377,7.491
2019-01-03 17:00,2019-01-03 18:00,2887.671,8.088
2019-01-03 18:00,2019-01-03 19:00,3251.107,8.473
2019-01-03 19:00,2019-01-03 20:00,3538.355,8.773
2019-01-03 20:00,2019-01-03 21:00,3873.829,9.137
2019-01-03 21:00,2019-01-03 22:00,4274.726,9.578
2019-01-03 22:00,2019-01-03 23:00,4477.689,9.822
