# Renewables.ninja Wind (Point API) - 54.664, 11.625 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "54.66394205572472", "lon": "11.624510770278652", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6730.962,14.824
2019-01-01 01:00,2019-01-01 02:00,6834.371,15.662
2019-01-01 02:00,2019-01-01 03:00,6878.588,16.210
2019-01-01 03:00,2019-01-01 04:00,6909.926,16.869
2019-01-01 04:00,2019-01-01 05:00,6911.909,16.952
2019-01-01 05:00,2019-01-01 06:00,6903.266,16.684
2019-01-01 06:00,2019-01-01 07:00,6914.034,17.051
2019-01-01 07:00,2019-01-01 08:00,6917.265,17.318
2019-01-01 08:00,2019-01-01 09:00,6916.866,17.538
2019-01-01 09:00,2019-01-01 10:00,6891.194,18.315
2019-01-01 10:00,2019-01-01 11:00,6829.068,19.035
2019-01-01 11:00,2019-01-01 12:00,6693.625,19.871
2019-01-01 12:00,2019-01-01 13:00,6500.891,20.603
2019-01-01 13:00,2019-01-01 14:00,6446.407,20.776
2019-01-01 14:00,2019-01-01 15:00,6580.159,20.340
2019-01-01 15:00,2019-01-01 16:00,6655.576,20.041
2019-01-01 16:00,2019-01-01 17:00,6737.104,19.650
2019-01-01 17:00,2019-01-01 18:00,6834.572,18.987
2019-01-01 18:00,2019-01-01 19:00,6896.405,18.231
2019-01-01 19:00,2019-01-01 20:00,6916.389,17.587
2019-01-01 20:00,2019-01-01 21:00,6913.548,17.023
2019-01-01 21:00,2019-01-01 22:00,6917.445,17.418
2019-01-01 22:00,2019-01-01 23:00,6917.292,17.467
2019-01-01 23:00,2019-01-02 00:00,6916.845,17.256
2019-01-02 00:00,2019-01-02 01:00,6917.404,17.429
2019-01-02 01:00,2019-01-02 02:00,6914.998,17.685
2019-01-02 02:00,2019-01-02 03:00,6915.377,17.663
2019-01-02 03:00,2019-01-02 04:00,6917.384,17.362
2019-01-02 04:00,2019-01-02 05:00,6917.400,17.432
2019-01-02 05:00,2019-01-02 06:00,6916.967,17.272
2019-01-02 06:00,2019-01-02 07:00,6908.051,16.808
2019-01-02 07:00,2019-01-02 08:00,6888.889,16.378
2019-01-02 08:00,2019-01-02 09:00,6856.769,15.911
2019-01-02 09:00,2019-01-02 10:00,6847.506,15.802
