# Renewables.ninja Wind (Point API) - 55.448, 8.975 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "55.4480522596758", "lon": "8.975279567325066", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7000", "height": "80", "turbine": "Vestas V164 7000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6061.151,12.359
2019-01-01 01:00,2019-01-01 02:00,6183.175,12.664
2019-01-01 02:00,2019-01-01 03:00,6256.495,12.872
2019-01-01 03:00,2019-01-01 04:00,6308.959,13.027
2019-01-01 04:00,2019-01-01 05:00,6560.247,13.923
2019-01-01 05:00,2019-01-01 06:00,6688.962,14.561
2019-01-01 06:00,2019-01-01 07:00,6752.023,14.965
2019-01-01 07:00,2019-01-01 08:00,6787.141,15.232
2019-01-01 08:00,2019-01-01 09:00,6794.083,15.287
2019-01-01 09:00,2019-01-01 10:00,6814.792,15.471
2019-01-01 10:00,2019-01-01 11:00,6863.453,15.988
2019-01-01 11:00,2019-01-01 12:00,6889.692,16.392
2019-01-01 12:00,2019-01-01 13:00,6890.584,16.402
2019-01-01 13:00,2019-01-01 14:00,6902.354,16.655
2019-01-01 14:00,2019-01-01 15:00,6912.541,16.981
2019-01-01 15:00,2019-01-01 16:00,6913.534,17.023
2019-01-01 16:00,2019-01-01 17:00,6891.643,16.422
2019-01-01 17:00,2019-01-01 18:00,6843.876,15.763
2019-01-01 18:00,2019-01-01 19:00,6772.167,15.117
2019-01-01 19:00,2019-01-01 20:00,6651.811,14.367
2019-01-01 20:00,2019-01-01 21:00,6585.608,14.044
2019-01-01 21:00,2019-01-01 22:00,6542.517,13.855
2019-01-01 22:00,2019-01-01 23:00,6521.225,13.758
2019-01-01 23:00,2019-01-02 00:00,6463.684,13.545
2019-01-02 00:00,2019-01-02 01:00,6352.130,13.151
2019-01-02 01:00,2019-01-02 02:00,6221.958,12.774
2019-01-02 02:00,2019-01-02 03:00,6069.790,12.381
2019-01-02 03:00,2019-01-02 04:00,5942.784,12.089
2019-01-02 04:00,2019-01-02 05:00,5833.344,11.858
2019-01-02 05:00,2019-01-02 06:00,5647.982,11.491
2019-01-02 06:00,2019-01-02 07:00,5329.863,10.969
2019-01-02 07:00,2019-01-02 08:00,4840.052,10.275
2019-01-02 08:00,2019-01-02 09:00,4338.979,9.660
2019-01-02 09:00,2019-01-02 10:00,3712.703,8.963
2019-01-02 10:00,2019-01-02 11:00,2905.911,8.100
2019-01-02 11:00,2019-01-02 12:00,2606.294,7.786
2019-01-02 12:00,2019-01-02 13:00,2277.784,7.428
2019-01-02 13:00,2019-01-02 14:00,2225.771,7.366
2019-01-02 14:00,2019-01-02 15:00,2331.658,7.485
2019-01-02 15:00,2019-01-02 16:00,2259.851,7.407
2019-01-02 16:00,2019-01-02 17:00,1988.770,7.095
2019-01-02 17:00,2019-01-02 18:00,1644.060,6.669
2019-01-02 18:00,2019-01-02 19:00,1325.964,6.240
2019-01-02 19:00,2019-01-02 20:00,1102.712,5.915
2019-01-02 20:00,2019-01-02 21:00,960.759,5.682
2019-01-02 21:00,2019-01-02 22:00,896.481,5.561
2019-01-02 22:00,2019-01-02 23:00,895.659,5.560
2019-01-02 23:00,2019-01-03 00:00,961.939,5.684
2019-01-03 00:00,2019-01-03 01:00,1070.037,5.863
2019-01-03 01:00,2019-01-03 02:00,1148.680,5.977
2019-01-03 02:00,2019-01-03 03:00,1150.667,5.986
2019-01-03 03:00,2019-01-03 04:00,1157.123,6.000
2019-01-03 04:00,2019-01-03 05:00,1150.043,5.979
2019-01-03 05:00,2019-01-03 06:00,1114.417,5.933
2019-01-03 06:00,2019-01-03 07:00,1044.067,5.821
2019-01-03 07:00,2019-01-03 08:00,955.331,5.673
2019-01-03 08:00,2019-01-03 09:00,850.600,5.488
2019-01-03 09:00,2019-01-03 10:00,691.247,5.179
2019-01-03 10:00,2019-01-03 11:00,589.497,4.959
2019-01-03 11:00,2019-01-03 12:00,499.867,4.747
2019-01-03 12:00,2019-01-03 13:00,479.864,4.697
2019-01-03 13:00,2019-01-03 14:00,639.562,5.061
2019-01-03 14:00,2019-01-03 15:00,861.060,5.507
2019-01-03 15:00,2019-01-03 16:00,986.677,5.726
2019-01-03 16:00,2019-01-03 17:00,931.900,5.633
2019-01-03 17:00,2019-01-03 18:00,1179.538,6.027
2019-01-03 18:00,2019-01-03 19:00,1735.406,6.793
2019-01-03 19:00,2019-01-03 20:00,2111.806,7.236
2019-01-03 20:00,2019-01-03 21:00,2291.691,7.438
2019-01-03 21:00,2019-01-03 22:00,2511.698,7.688
2019-01-03 22:00,2019-01-03 23:00,2821.647,8.018
2019-01-03 23:00,2019-01-04 00:00,3006.654,8.216
2019-01-04 00:00,2019-01-04 01:00,3248.174,8.470
2019-01-04 01:00,2019-01-04 02:00,3485.009,8.710
2019-01-04 02:00,2019-01-04 03:00,3808.294,9.066
2019-01-04 03:00,2019-01-04 04:00,4118.911,9.399
2019-01-04 04:00,2019-01-04 05:00,4199.967,9.496
2019-01-04 05:00,2019-01-04 06:00,4085.264,9.371
2019-01-04 06:00,2019-01-04 07:00,4138.095,9.427
2019-01-04 07:00,2019-01-04 08:00,4278.567,9.588
2019-01-04 08:00,2019-01-04 09:00,4491.463,9.838
2019-01-04 09:00,2019-01-04 10:00,4463.633,9.807
2019-01-04 10:00,2019-01-04 11:00,4768.357,10.181
2019-01-04 11:00,2019-01-04 12:00,5008.107,10.499
2019-01-04 12:00,2019-01-04 13:00,5008.367,10.493
2019-01-04 13:00,2019-01-04 14:00,4980.478,10.462
2019-01-04 14:00,2019-01-04 15:00,5057.357,10.568
2019-01-04 15:00,2019-01-04 16:00,5198.349,10.769
2019-01-04 16:00,2019-01-04 17:00,5245.653,10.837
2019-01-04 17:00,2019-01-04 18:00,5329.327,10.968
2019-01-04 18:00,2019-01-04 19:00,5370.735,11.032
2019-01-04 19:00,2019-01-04 20:00,5350.299,10.996
