# Renewables.ninja Solar PV (Point API) - 55.295, 10.217 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "55.29531139546694", "lon": "10.216794077536575", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1000", "system_loss": "0.25", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,4.945,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,5.664,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,5.894,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,5.949,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,5.855,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,5.559,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,5.466,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0,5.512,0
2015-01-01 08:00,2015-01-01 09:00,0,0,0.001,5.697,0
2015-01-01 09:00,2015-01-01 10:00,2.786,0,0.012,5.909,0
2015-01-01 10:00,2015-01-01 11:00,6.732,0.003,0.016,5.984,0
2015-01-01 11:00,2015-01-01 12:00,7.730,0.003,0.018,5.947,0
2015-01-01 12:00,2015-01-01 13:00,2.909,0,0.012,5.833,0
2015-01-01 13:00,2015-01-01 14:00,28.470,0.024,0.027,5.649,0
2015-01-01 14:00,2015-01-01 15:00,0.266,0,0.007,5.455,0
2015-01-01 15:00,2015-01-01 16:00,0,0,0,5.264,0
2015-01-01 16:00,2015-01-01 17:00,0,0,0,5.099,0
2015-01-01 17:00,2015-01-01 18:00,0,0,0,4.950,0
2015-01-01 18:00,2015-01-01 19:00,0,0,0,4.767,0
2015-01-01 19:00,2015-01-01 20:00,0,0,0,4.570,0
2015-01-01 20:00,2015-01-01 21:00,0,0,0,4.441,0
2015-01-01 21:00,2015-01-01 22:00,0,0,0,4.327,0
2015-01-01 22:00,2015-01-01 23:00,0,0,0,4.461,0
2015-01-01 23:00,2015-01-02 00:00,0,0,0,4.850,0
2015-01-02 00:00,2015-01-02 01:00,0,0,0,5.242,0
2015-01-02 01:00,2015-01-02 02:00,0,0,0,5.552,0
2015-01-02 02:00,2015-01-02 03:00,0,0,0,5.891,0
2015-01-02 03:00,2015-01-02 04:00,0,0,0,6.621,0
2015-01-02 04:00,2015-01-02 05:00,0,0,0,7.694,0
