# Renewables.ninja Solar PV (Point API) - 56.852, 9.715 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "56.85160405342849", "lon": "9.715214970336943", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1000", "system_loss": "0.25", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,4.868,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,5.287,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,5.633,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,5.572,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,5.344,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,5.450,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,6.055,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0,6.590,0
2015-01-01 08:00,2015-01-01 09:00,0,0,0.001,6.909,0
2015-01-01 09:00,2015-01-01 10:00,0.637,0,0.008,7.159,0
2015-01-01 10:00,2015-01-01 11:00,7.716,0.001,0.020,7.426,0
2015-01-01 11:00,2015-01-01 12:00,4.940,0,0.016,7.611,0
2015-01-01 12:00,2015-01-01 13:00,11.686,0.002,0.025,7.642,0
2015-01-01 13:00,2015-01-01 14:00,33.672,0.030,0.029,7.612,0
2015-01-01 14:00,2015-01-01 15:00,0,0,0.004,7.529,0
2015-01-01 15:00,2015-01-01 16:00,0,0,0,7.448,0
2015-01-01 16:00,2015-01-01 17:00,0,0,0,7.439,0
2015-01-01 17:00,2015-01-01 18:00,0,0,0,7.495,0
2015-01-01 18:00,2015-01-01 19:00,0,0,0,7.521,0
2015-01-01 19:00,2015-01-01 20:00,0,0,0,7.421,0
2015-01-01 20:00,2015-01-01 21:00,0,0,0,7.173,0
2015-01-01 21:00,2015-01-01 22:00,0,0,0,7.304,0
2015-01-01 22:00,2015-01-01 23:00,0,0,0,7.993,0
2015-01-01 23:00,2015-01-02 00:00,0,0,0,8.527,0
2015-01-02 00:00,2015-01-02 01:00,0,0,0,8.799,0
2015-01-02 01:00,2015-01-02 02:00,0,0,0,9.087,0
2015-01-02 02:00,2015-01-02 03:00,0,0,0,9.449,0
2015-01-02 03:00,2015-01-02 04:00,0,0,0,9.816,0
2015-01-02 04:00,2015-01-02 05:00,0,0,0,10.139,0
2015-01-02 05:00,2015-01-02 06:00,0,0,0,10.036,0
2015-01-02 06:00,2015-01-02 07:00,0,0,0,9.053,0
2015-01-02 07:00,2015-01-02 08:00,0,0,0,7.814,0
2015-01-02 08:00,2015-01-02 09:00,0.228,0.004,0.002,6.963,0
2015-01-02 09:00,2015-01-02 10:00,6.192,0.008,0.011,6.644,0
2015-01-02 10:00,2015-01-02 11:00,76.322,0.073,0.040,6.649,0
2015-01-02 11:00,2015-01-02 12:00,66.332,0.057,0.044,6.504,0
2015-01-02 12:00,2015-01-02 13:00,263.301,0.312,0.038,6.311,0
2015-01-02 13:00,2015-01-02 14:00,39.018,0.042,0.024,6.171,0
2015-01-02 14:00,2015-01-02 15:00,22.491,0.035,0.008,5.860,0
2015-01-02 15:00,2015-01-02 16:00,0,0,0,5.454,0
2015-01-02 16:00,2015-01-02 17:00,0,0,0,5.115,0
2015-01-02 17:00,2015-01-02 18:00,0,0,0,5.054,0
2015-01-02 18:00,2015-01-02 19:00,0,0,0,5.208,0
2015-01-02 19:00,2015-01-02 20:00,0,0,0,5.144,0
2015-01-02 20:00,2015-01-02 21:00,0,0,0,4.598,0
2015-01-02 21:00,2015-01-02 22:00,0,0,0,4.188,0
2015-01-02 22:00,2015-01-02 23:00,0,0,0,4.243,0
2015-01-02 23:00,2015-01-03 00:00,0,0,0,4.841,0
2015-01-03 00:00,2015-01-03 01:00,0,0,0,5.308,0
2015-01-03 01:00,2015-01-03 02:00,0,0,0,5.239,0
2015-01-03 02:00,2015-01-03 03:00,0,0,0,5.250,0
2015-01-03 03:00,2015-01-03 04:00,0,0,0,5.221,0
2015-01-03 04:00,2015-01-03 05:00,0,0,0,5.075,0
2015-01-03 05:00,2015-01-03 06:00,0,0,0,4.891,0
2015-01-03 06:00,2015-01-03 07:00,0,0,0,4.782,0
2015-01-03 07:00,2015-01-03 08:00,0,0,0,4.695,0
2015-01-03 08:00,2015-01-03 09:00,10.979,0.023,0.003,4.691,0
2015-01-03 09:00,2015-01-03 10:00,158.794,0.189,0.026,4.883,0
2015-01-03 10:00,2015-01-03 11:00,296.612,0.344,0.047,5.069,0
2015-01-03 11:00,2015-01-03 12:00,415.873,0.498,0.054,5.178,0
2015-01-03 12:00,2015-01-03 13:00,202.491,0.211,0.059,5.116,0
2015-01-03 13:00,2015-01-03 14:00,301.578,0.357,0.040,4.752,0
2015-01-03 14:00,2015-01-03 15:00,54.150,0.074,0.010,4.231,0
2015-01-03 15:00,2015-01-03 16:00,0,0,0,3.782,0
2015-01-03 16:00,2015-01-03 17:00,0,0,0,3.400,0
2015-01-03 17:00,2015-01-03 18:00,0,0,0,3.248,0
2015-01-03 18:00,2015-01-03 19:00,0,0,0,3.118,0
2015-01-03 19:00,2015-01-03 20:00,0,0,0,2.989,0
2015-01-03 20:00,2015-01-03 21:00,0,0,0,2.559,0
2015-01-03 21:00,2015-01-03 22:00,0,0,0,2.192,0
2015-01-03 22:00,2015-01-03 23:00,0,0,0,1.918,0
2015-01-03 23:00,2015-01-04 00:00,0,0,0,1.805,0
2015-01-04 00:00,2015-01-04 01:00,0,0,0,1.781,0
2015-01-04 01:00,2015-01-04 02:00,0,0,0,2.046,0
2015-01-04 02:00,2015-01-04 03:00,0,0,0,2.312,0
2015-01-04 03:00,2015-01-04 04:00,0,0,0,2.411,0
2015-01-04 04:00,2015-01-04 05:00,0,0,0,2.258,0
2015-01-04 05:00,2015-01-04 06:00,0,0,0,1.969,0
2015-01-04 06:00,2015-01-04 07:00,0,0,0,1.730,0
2015-01-04 07:00,2015-01-04 08:00,0,0,0,1.542,0
2015-01-04 08:00,2015-01-04 09:00,7.071,0.016,0.003,1.678,0
2015-01-04 09:00,2015-01-04 10:00,221.372,0.265,0.026,2.431,0
2015-01-04 10:00,2015-01-04 11:00,355.259,0.418,0.047,3.147,0
2015-01-04 11:00,2015-01-04 12:00,493.774,0.607,0.050,3.580,0
2015-01-04 12:00,2015-01-04 13:00,448.093,0.539,0.053,3.654,0
2015-01-04 13:00,2015-01-04 14:00,373.273,0.447,0.042,3.322,0
2015-01-04 14:00,2015-01-04 15:00,44.442,0.061,0.010,2.653,0
2015-01-04 15:00,2015-01-04 16:00,0,0,0,2.487,0
2015-01-04 16:00,2015-01-04 17:00,0,0,0,2.578,0
2015-01-04 17:00,2015-01-04 18:00,0,0,0,2.660,0
2015-01-04 18:00,2015-01-04 19:00,0,0,0,2.878,0
2015-01-04 19:00,2015-01-04 20:00,0,0,0,3.039,0
2015-01-04 20:00,2015-01-04 21:00,0,0,0,3.208,0
2015-01-04 21:00,2015-01-04 22:00,0,0,0,3.394,0
2015-01-04 22:00,2015-01-04 23:00,0,0,0,3.608,0
2015-01-04 23:00,2015-01-05 00:00,0,0,0,3.895,0
2015-01-05 00:00,2015-01-05 01:00,0,0,0,4.322,0
2015-01-05 01:00,2015-01-05 02:00,0,0,0,4.925,0
2015-01-05 02:00,2015-01-05 03:00,0,0,0,5.246,0
2015-01-05 03:00,2015-01-05 04:00,0,0,0,5.105,0
2015-01-05 04:00,2015-01-05 05:00,0,0,0,4.911,0
2015-01-05 05:00,2015-01-05 06:00,0,0,0,4.798,0
2015-01-05 06:00,2015-01-05 07:00,0,0,0,4.796,0
2015-01-05 07:00,2015-01-05 08:00,0,0,0,4.842,0
2015-01-05 08:00,2015-01-05 09:00,9.371,0.020,0.004,4.906,0
2015-01-05 09:00,2015-01-05 10:00,171.586,0.213,0.018,5.088,0
2015-01-05 10:00,2015-01-05 11:00,8.182,0,0.022,5.277,0
2015-01-05 11:00,2015-01-05 12:00,7.324,0,0.020,5.352,0
2015-01-05 12:00,2015-01-05 13:00,16.590,0.014,0.020,5.293,0
2015-01-05 13:00,2015-01-05 14:00,45.971,0.047,0.027,5.093,0
2015-01-05 14:00,2015-01-05 15:00,21.857,0.032,0.010,4.768,0
2015-01-05 15:00,2015-01-05 16:00,0,0,0,4.544,0
2015-01-05 16:00,2015-01-05 17:00,0,0,0,4.353,0
2015-01-05 17:00,2015-01-05 18:00,0,0,0,4.110,0
2015-01-05 18:00,2015-01-05 19:00,0,0,0,3.886,0
2015-01-05 19:00,2015-01-05 20:00,0,0,0,3.665,0
2015-01-05 20:00,2015-01-05 21:00,0,0,0,3.591,0
2015-01-05 21:00,2015-01-05 22:00,0,0,0,3.658,0
2015-01-05 22:00,2015-01-05 23:00,0,0,0,3.583,0
2015-01-05 23:00,2015-01-06 00:00,0,0,0,3.486,0
2015-01-06 00:00,2015-01-06 01:00,0,0,0,3.424,0
2015-01-06 01:00,2015-01-06 02:00,0,0,0,3.441,0
2015-01-06 02:00,2015-01-06 03:00,0,0,0,3.521,0
2015-01-06 03:00,2015-01-06 04:00,0,0,0,3.709,0
2015-01-06 04:00,2015-01-06 05:00,0,0,0,3.954,0
2015-01-06 05:00,2015-01-06 06:00,0,0,0,4.126,0
2015-01-06 06:00,2015-01-06 07:00,0,0,0,4.337,0
2015-01-06 07:00,2015-01-06 08:00,0,0,0,4.368,0
2015-01-06 08:00,2015-01-06 09:00,0,0,0.001,4.408,0
2015-01-06 09:00,2015-01-06 10:00,2.004,0,0.011,4.361,0
2015-01-06 10:00,2015-01-06 11:00,5.002,0,0.016,4.322,0
2015-01-06 11:00,2015-01-06 12:00,5.976,0,0.018,4.292,0
2015-01-06 12:00,2015-01-06 13:00,5.879,0,0.018,4.300,0
2015-01-06 13:00,2015-01-06 14:00,2.733,0,0.012,4.196,0
2015-01-06 14:00,2015-01-06 15:00,0,0,0.003,4.049,0
2015-01-06 15:00,2015-01-06 16:00,0,0,0,3.883,0
2015-01-06 16:00,2015-01-06 17:00,0,0,0,3.676,0
2015-01-06 17:00,2015-01-06 18:00,0,0,0,3.413,0
2015-01-06 18:00,2015-01-06 19:00,0,0,0,3.049,0
2015-01-06 19:00,2015-01-06 20:00,0,0,0,2.677,0
2015-01-06 20:00,2015-01-06 21:00,0,0,0,2.398,0
2015-01-06 21:00,2015-01-06 22:00,0,0,0,2.273,0
2015-01-06 22:00,2015-01-06 23:00,0,0,0,2.171,0
2015-01-06 23:00,2015-01-07 00:00,0,0,0,2.015,0
2015-01-07 00:00,2015-01-07 01:00,0,0,0,1.945,0
2015-01-07 01:00,2015-01-07 02:00,0,0,0,2.473,0
2015-01-07 02:00,2015-01-07 03:00,0,0,0,3.598,0
2015-01-07 03:00,2015-01-07 04:00,0,0,0,4.308,0
2015-01-07 04:00,2015-01-07 05:00,0,0,0,4.466,0
2015-01-07 05:00,2015-01-07 06:00,0,0,0,4.152,0
2015-01-07 06:00,2015-01-07 07:00,0,0,0,4.008,0
2015-01-07 07:00,2015-01-07 08:00,0,0,0,3.826,0
