# Renewables.ninja Solar PV (Point API) - 55.377, 11.932 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "55.37662155770636", "lon": "11.932309706033488", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1000", "system_loss": "0.25", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,3.374,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,3.614,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,4.181,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,4.587,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,4.745,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,4.849,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,4.819,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0,4.684,0
2015-01-01 08:00,2015-01-01 09:00,1.292,0.003,0.006,4.466,0
2015-01-01 09:00,2015-01-01 10:00,3.593,0.003,0.010,4.488,0
2015-01-01 10:00,2015-01-01 11:00,76.744,0.075,0.038,4.529,0
2015-01-01 11:00,2015-01-01 12:00,3.404,0,0.013,4.649,0
2015-01-01 12:00,2015-01-01 13:00,5.460,0,0.017,4.632,0
2015-01-01 13:00,2015-01-01 14:00,1.985,0,0.011,4.596,0
2015-01-01 14:00,2015-01-01 15:00,0.012,0,0.006,4.422,0
2015-01-01 15:00,2015-01-01 16:00,0,0,0,4.132,0
2015-01-01 16:00,2015-01-01 17:00,0,0,0,4.029,0
2015-01-01 17:00,2015-01-01 18:00,0,0,0,4.034,0
2015-01-01 18:00,2015-01-01 19:00,0,0,0,3.996,0
2015-01-01 19:00,2015-01-01 20:00,0,0,0,3.897,0
2015-01-01 20:00,2015-01-01 21:00,0,0,0,3.804,0
2015-01-01 21:00,2015-01-01 22:00,0,0,0,3.750,0
2015-01-01 22:00,2015-01-01 23:00,0,0,0,3.507,0
2015-01-01 23:00,2015-01-02 00:00,0,0,0,3.481,0
2015-01-02 00:00,2015-01-02 01:00,0,0,0,3.807,0
2015-01-02 01:00,2015-01-02 02:00,0,0,0,4.181,0
2015-01-02 02:00,2015-01-02 03:00,0,0,0,4.522,0
