# Renewables.ninja Solar PV (Point API) - 55.352, 9.029 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "55.3516208179114", "lon": "9.029129411647146", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1000", "system_loss": "0.25", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,6.205,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,6.306,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,6.339,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,6.069,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,5.696,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,5.742,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,6.108,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0,6.492,0
2015-01-01 08:00,2015-01-01 09:00,0,0,0.001,6.851,0
2015-01-01 09:00,2015-01-01 10:00,2.003,0,0.011,6.991,0
2015-01-01 10:00,2015-01-01 11:00,2.130,0,0.011,7.053,0
2015-01-01 11:00,2015-01-01 12:00,4.200,0,0.015,6.999,0
2015-01-01 12:00,2015-01-01 13:00,4.127,0,0.015,6.883,0
2015-01-01 13:00,2015-01-01 14:00,4.754,0,0.016,6.751,0
2015-01-01 14:00,2015-01-01 15:00,0.540,0,0.007,6.574,0
2015-01-01 15:00,2015-01-01 16:00,0,0,0,6.382,0
