Time_hr,Node,Curtailed_kW,Fossil_kW
1,1,0.0,0.0
2,1,0.0,0.0
3,1,0.0,0.0
4,1,0.0,0.0
5,1,0.0,0.0
6,1,0.0,0.0
7,1,0.0,0.0
8,1,0.0,0.0
9,1,0.0,0.0
10,1,0.0,0.0
11,1,0.0,0.0
12,1,0.0,0.0
13,1,0.0,0.0
14,1,0.0,0.0
15,1,0.0,0.0
16,1,0.0,0.0
17,1,0.0,138.15572877819176
18,1,0.0,325.9330519986621
19,1,0.0,204.59624360125514
20,1,0.0,10.621334381141196
21,1,0.0,0.0
22,1,0.0,0.0
23,1,0.0,0.0
24,1,0.0,0.0
25,1,0.0,0.0
26,1,0.0,0.0
27,1,0.0,0.0
28,1,0.0,0.0
29,1,0.0,0.0
30,1,0.0,0.0
31,1,0.0,0.0
32,1,0.0,330.3821212707396
33,1,4.263256414560601e-14,648.3977039131856
34,1,0.0,735.1417409303997
35,1,0.0,794.9718092997143
36,1,0.0,740.7486410774857
37,1,0.0,789.9965014556567
38,1,0.0,836.6585325385145
39,1,0.0,848.9166708156567
40,1,0.0,886.4545051014854
41,1,0.0,1009.3287353264573
42,1,0.0,1188.5541737373144
43,1,0.0,1197.491000346686
44,1,0.0,1118.7780265223428
45,1,0.0,1029.3625862550284
46,1,0.0,938.0297570977707
47,1,0.0,880.2297966208001
48,1,0.0,763.8006141258286
49,1,0.0,629.2364546242859
50,1,0.0,587.9512119561712
51,1,0.0,550.5360196783424
52,1,0.0,538.5581791520566
53,1,0.0,496.759016681714
54,1,0.0,577.9096234970287
55,1,0.0,814.9377655385713
56,1,0.0,1020.0420472414287
57,1,0.0,1198.3520888222854
58,1,0.0,1276.9467784338287
59,1,0.0,1274.5289492955428
60,1,0.0,1363.0732011203427
61,1,0.0,1457.9810526361134
62,1,0.0,1582.8576227860003
63,1,0.0,1572.2479802215998
64,1,0.0,1648.1315891530285
65,1,0.0,1805.0603597430277
66,1,0.0,1982.907068456514
67,1,0.0,1971.3795202159429
68,1,0.0,1799.863279306
69,1,0.0,1630.2350548140569
70,1,0.0,1488.6715734641707
71,1,0.0,1330.5446109923425
72,1,0.0,1135.8109814805148
73,1,7.105427357601002e-15,899.9005688085398
74,1,0.0,587.903432307778
75,1,0.0,369.41889402659626
76,1,0.0,209.58861545137106
77,1,2.842170943040401e-14,262.8169024038949
78,1,0.0,236.96429221637163
79,1,0.0,220.41040928734515
80,1,0.0,281.8301978879089
81,1,0.0,398.180691625162
82,1,0.0,532.2020311025295
83,1,0.0,511.93939187315476
84,1,0.0,534.5556538638576
85,1,0.0,618.2927117240461
86,1,0.0,727.092996369995
87,1,0.0,678.3503209376108
88,1,5.684341886080802e-14,654.6290490796401
89,1,0.0,805.6132306023172
90,1,0.0,972.3859907401962
91,1,0.0,985.6038017860492
92,1,0.0,776.8910489611395
93,1,0.0,599.6606808581457
94,1,0.0,334.0278063646476
95,1,0.0,176.91907510636565
96,1,0.0,84.75514634493936
97,1,0.0,0.0
98,1,0.0,0.0
99,1,0.0,0.0
100,1,0.0,0.0
101,1,0.0,0.0
102,1,0.0,143.48966147545002
103,1,0.0,340.94070564492813
104,1,0.0,714.1293643641965
105,1,0.0,1125.080962373028
106,1,0.0,1287.1315604788567
107,1,0.0,1401.4224967268574
108,1,0.0,1402.6936170220574
109,1,0.0,1436.9284163371424
