Node,Storage,Invest_storage,Powercap_kW,Energycap_kWh
1,1,1,0.0,0.0
1,2,1,0.0,0.0
1,3,1,0.0,0.0
1,4,1,0.0,0.0
1,5,1,0.0,0.0
2,1,1,0.0,0.0
2,2,1,0.0,0.0
2,3,1,0.0,0.0
2,4,1,0.0,0.0
2,5,1,0.0,0.0
3,1,1,733.9358517951633,14339.240307391066
3,2,1,0.0,0.0
3,3,1,0.0,0.0
3,4,1,0.0,0.0
3,5,1,34.81680132624507,48.834632419602315
4,1,1,1134.7203847360395,40852.72592306499
4,2,1,0.0,0.0
4,3,1,0.0,0.0
4,4,1,182.13471668639093,13871.380022835536
4,5,1,282.63876414245976,751.7657430630834
5,1,1,571.3995308364424,22052.512630246107
5,2,1,0.0,0.0
5,3,1,0.0,0.0
5,4,1,115.77525113285797,8774.992795445263
5,5,1,180.66514500570997,531.4461545106815
