Time_hr,Node,Curtailed_kW,Fossil_kW
1,1,140479.51574160042,0.0
2,1,182067.8060513714,0.0
3,1,0.0,0.0
4,1,277370.900668229,0.0
5,1,0.0,0.0
6,1,287628.75997664046,0.0
7,1,0.0,0.0
8,1,0.0,0.0
9,1,0.0,0.0
10,1,0.0,0.0
11,1,0.0,0.0
12,1,0.0,0.0
13,1,0.0,0.0
14,1,0.0,0.0
15,1,0.0,0.0
16,1,0.0,0.0
17,1,0.0,0.0
18,1,0.0,6002.244521221262
19,1,0.0,0.0
20,1,0.0,0.0
21,1,0.0,0.0
22,1,0.0,0.0
23,1,0.0,0.0
24,1,0.0,0.0
25,1,0.0,0.0
26,1,0.0,0.0
27,1,0.0,0.0
28,1,0.0,0.0
29,1,0.0,0.0
30,1,0.0,0.0
31,1,0.0,0.0
32,1,0.0,0.0
33,1,0.0,125739.83850692213
34,1,0.0,453634.1587697925
35,1,0.0,513464.2271391073
36,1,0.0,459241.05891687854
37,1,0.0,508488.9192950496
38,1,0.0,676538.1124909446
39,1,0.0,848916.6708156567
40,1,0.0,886454.5051014854
41,1,0.0,1.0093287353264575e6
42,1,0.0,1.1885541737373143e6
43,1,0.0,1.1974910003466858e6
44,1,0.0,1.1187780265223426e6
45,1,0.0,1.0293625862550285e6
46,1,0.0,938029.7570977706
47,1,0.0,880229.7966208
48,1,0.0,763800.6141258286
49,1,0.0,629236.4546242858
50,1,0.0,587951.2119561712
51,1,0.0,550536.0196783424
52,1,0.0,538558.1791520567
53,1,0.0,496759.016681714
54,1,0.0,577909.6234970288
55,1,0.0,814937.7655385713
56,1,0.0,1.0200420472414288e6
57,1,0.0,1.1983520888222854e6
58,1,0.0,1.2769467784338286e6
59,1,0.0,1.2745289492955427e6
60,1,0.0,1.3630732011203426e6
61,1,0.0,1.4579810526361135e6
62,1,0.0,1.5828576227860006e6
63,1,0.0,1.5722479802215998e6
64,1,0.0,1.6481315891530286e6
65,1,0.0,1.805060359743028e6
66,1,0.0,1.982907068456514e6
67,1,0.0,1.971379520215943e6
68,1,0.0,1.7998632793059999e6
69,1,0.0,1.630235054814057e6
70,1,0.0,1.4886715734641708e6
71,1,0.0,1.1742565719449145e6
72,1,0.0,842912.175414863
73,1,5.820766091346741e-11,550206.8806734469
74,1,2.9103830456733704e-11,545102.6512807934
75,1,0.0,369418.89402659616
76,1,0.0,209588.61545137112
77,1,0.0,262816.9024038948
78,1,0.0,236964.2922163717
79,1,0.0,220410.409287345
80,1,0.0,281830.1978879091
81,1,0.0,398180.691625162
82,1,0.0,532202.0311025296
83,1,0.0,511939.39187315485
84,1,0.0,534555.6538638576
85,1,0.0,618292.711724046
86,1,0.0,727092.9963699948
87,1,0.0,678350.3209376109
88,1,0.0,654629.0490796402
